日付,未登録,登録済み,表示回数
2025-09-27,106,12,1
2025-09-28,106,12,0
2025-09-29,106,12,0
2025-09-30,106,12,0
2025-10-01,107,11,1
2025-10-02,107,11,0
2025-10-03,107,11,0
2025-10-04,107,11,0
2025-10-05,107,11,0
2025-10-06,107,11,1
2025-10-07,107,11,0
2025-10-08,107,11,0
2025-10-09,107,11,0
2025-10-10,107,11,1
2025-10-11,107,11,1
2025-10-12,106,11,3
2025-10-13,106,11,0
2025-10-14,106,11,1
2025-10-15,101,11,0
2025-10-16,101,11,1
2025-10-17,101,11,1
2025-10-18,101,11,4
2025-10-19,91,11,0
2025-10-20,91,11,1
2025-10-21,91,11,0
2025-10-22,90,10,0
2025-10-23,90,10,1
2025-10-24,90,10,1
2025-10-25,90,10,0
2025-10-26,90,10,0
2025-10-27,90,10,0
2025-10-28,90,10,0
2025-10-29,85,11,0
2025-10-30,85,11,0
2025-10-31,85,11,0
2025-11-01,85,11,0
2025-11-02,85,11,2
2025-11-03,85,11,3
2025-11-04,85,11,2
2025-11-05,84,11,3
2025-11-06,84,11,2
2025-11-07,84,11,2
2025-11-08,84,11,1
2025-11-09,84,11,4
2025-11-10,84,11,1
2025-11-11,84,11,0
2025-11-12,83,11,2
2025-11-13,83,11,1
2025-11-14,83,11,2
2025-11-15,83,11,0
2025-11-16,83,11,5
2025-11-17,83,11,2
2025-11-18,83,11,7
2025-11-19,81,12,0
2025-11-20,81,12,2
2025-11-21,81,12,0
2025-11-22,81,12,2
2025-11-23,34,34,2
2025-11-24,34,34,2
2025-11-25,34,34,1
2025-11-26,34,34,1
2025-11-27,34,34,9
2025-11-28,34,34,2
2025-11-29,34,34,3
2025-11-30,34,34,0
2025-12-01,34,34,1
2025-12-02,34,34,4
2025-12-03,34,34,2
2025-12-04,34,34,8
2025-12-05,34,34,5
2025-12-06,34,34,1
2025-12-07,34,34,5
2025-12-08,34,34,5
2025-12-09,34,34,0
2025-12-10,34,34,1
2025-12-11,34,34,0
2025-12-12,34,34,1
2025-12-13,34,34,0
2025-12-14,34,34,3
2025-12-15,34,34,4
2025-12-16,27,34,4
2025-12-17,27,34,1
2025-12-18,27,34,0
2025-12-19,27,34,2
2025-12-20,27,34,6
2025-12-21,27,34,4
2025-12-22,27,34,1
2025-12-23,27,34,2
